loss,accuracy,val_loss,val_accuracy
2.9460108280181885,0.18802259862422943,58298.5546875,0.08028455078601837
2.3975372314453125,0.08926554024219513,22.963733673095703,0.6158536672592163
1.7726233005523682,0.12847457826137543,2.8933961391448975,0.0315040647983551
1.714521050453186,0.10135593265295029,1.9894750118255615,0.05386178940534592
1.6436057090759277,0.14723163843154907,1.8058545589447021,0.06910569220781326
1.5328526496887207,0.2080225944519043,1.8154432773590088,0.12398374080657959
1.4923430681228638,0.2364971786737442,1.7575812339782715,0.1666666716337204
1.3614387512207031,0.26293784379959106,1.7329307794570923,0.23170731961727142
1.342255711555481,0.2589830458164215,1.6409953832626343,0.17479674518108368
1.2596250772476196,0.29355931282043457,1.540889859199524,0.2184959352016449
1.2638156414031982,0.2840678095817566,4078.173095703125,0.029471544548869133
1.518586277961731,0.2161581963300705,4.356492519378662,0.2083333283662796
