loss,accuracy,val_loss,val_accuracy
3.4336791038513184,0.2500883638858795,578.7327270507812,0.1758130043745041
1.3943051099777222,0.447020560503006,1.5098131895065308,0.34959349036216736
1.0542941093444824,0.5406093001365662,1.32900869846344,0.4603658616542816
0.8262162804603577,0.6308051347732544,1.3392643928527832,0.37093496322631836
0.6821714639663696,0.6768219470977783,1.133223533630371,0.5162601470947266
0.5452166795730591,0.7342192530632019,1.311397671699524,0.4563008248806
0.41543152928352356,0.7820032238960266,1.0721166133880615,0.582317054271698
0.37080177664756775,0.8020074963569641,2.7661311626434326,0.47256097197532654
0.35229647159576416,0.814660370349884,1.452162742614746,0.49695122241973877
0.2702723741531372,0.852618932723999,1.4725526571273804,0.5010162591934204
0.23449306190013885,0.8745316863059998,1.7718658447265625,0.413617879152298
0.1931685358285904,0.8977168202400208,1.4188328981399536,0.6036585569381714
0.15201576054096222,0.9163073301315308,1.3903212547302246,0.6229674816131592
0.16450123488903046,0.9161659479141235,1.9409767389297485,0.461382120847702
0.15744885802268982,0.9212554097175598,1.7470005750656128,0.5701219439506531
0.1351785808801651,0.9321410655975342,1.7907719612121582,0.582317054271698
0.09805312007665634,0.9491764903068542,1.7141295671463013,0.577235758304596
0.12462222576141357,0.9375132322311401,1.6530251502990723,0.5589430928230286
0.11204073578119278,0.9456421732902527,1.7484138011932373,0.5365853905677795
0.11694122850894928,0.9423906207084656,1.754313349723816,0.5945122241973877
0.1291571855545044,0.9334134459495544,1.5671896934509277,0.5142276287078857
0.13253071904182434,0.932353138923645,1.9563244581222534,0.49695122241973877
0.11834724247455597,0.9375132322311401,1.8838225603103638,0.5579268336296082
